steamid,playtime_forever,achievement_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_outlier,impossible_survival,zero_achieve_high_playtime,suspect_flag,max_activity_mean,max_activity_pca
76561198037802252,442,3,0.006787330316742,0,0,0,0,0,0,1,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197969100147,478,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198833431225,484,43,0.0888429752066115,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198033263509,4184,43,0.0102772466539196,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198040600573,430,43,0.1,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198098132374,150,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198025391492,741,16,0.0215924426450742,180,500,100,0,0,10,14,28,False,False,False,False,-0.5836877571989827,-1.167691660618159
76561198219728397,191,43,0.225130890052356,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198025859378,2973,43,0.0144635048772283,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197997697109,655,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198261994200,187,43,0.2299465240641711,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198118371170,783,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198012557600,1732,23,0.0132794457274826,1680,0,500,0,8,50,1,140,False,False,False,False,0.1700595818058164,0.3443330428996702
76561198132235994,250,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199223078836,178,43,0.2415730337078651,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198842269103,14722,43,0.0029207988045102,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198118421272,131,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198113457184,470,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198003319092,3279,43,0.0131137541933516,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198018420672,32570,43,0.0013202333435677,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198028125071,565,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199266591526,1090,43,0.0394495412844036,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198042619868,4928,40,0.0081168831168831,180,5000,2500,25,10,250,28,300,False,False,False,False,0.9537363351478259,1.9054067803620947
76561198300270231,458,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198851670847,341,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198185575257,27725,43,0.0015509467989179,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198063348352,444,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198005648447,1613,18,0.0111593304401735,600,500,100,0,8,50,0,7,False,False,False,False,-0.4820970297280284,-0.9639250209908391
76561198033338283,3895,43,0.0110397946084724,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197988167503,578,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198015749826,1321,14,0.0105980317940953,180,50,100,0,0,50,7,7,False,False,False,False,-0.6730336013517758,-1.3455187884085509
76561198172925593,79682,37,0.0004643457744534,1680,5000,2500,0,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197999339700,552,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199419240894,678,43,0.0634218289085545,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
