steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,playtime_outlier,impossible_survival,zero_achieve_high_playtime,abnormal_behavior_flag,category_activity_mean,category_activity_pca,category_activity_mean_recalc,category_activity_pca_recalc
76561197980143180,481,10,0.0207900207900207,1,0,4,1,4,0,0,0,0,False,False,False,0,2.0,-8.377676657199295,1.1111111111111112,-1.2947197697184945
76561198076402319,12785,40,0.0031286664059444,3,4,8,4,5,3,4,5,4,False,False,False,0,8.0,23.106758754260913,4.444444444444445,4.005390706971883
76561198034096440,5330,43,0.0080675422138836,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198131834463,57,3,0.0526315789473684,1,0,1,1,0,0,0,0,0,False,False,False,0,0.6,-16.04396973998917,0.3333333333333333,-2.170077239490945
76561198302975346,518,6,0.0115830115830115,1,0,3,1,0,0,0,0,1,False,False,False,0,1.2,-12.770934258088388,0.6666666666666666,-1.7668878501180714
76561197989342663,3625,30,0.0082758620689655,2,4,7,2,4,3,0,4,4,False,False,False,0,6.0,12.712864772465236,3.3333333333333335,2.1967868290011547
76561198834458897,1691,43,0.0254287403903016,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198327228070,566,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198006884123,540,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198152618007,159,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197970792411,812,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198107302800,4050,23,0.005679012345679,2,0,7,2,3,3,0,3,3,False,False,False,0,4.6,5.400312350156231,2.5555555555555554,0.9467770916068439
76561198062505918,4190,7,0.0016706443914081,0,0,5,1,0,0,0,0,1,False,False,False,0,1.4,-11.544710960208928,0.7777777777777778,-1.8413556765617716
76561198139110854,2598,43,0.0165511932255581,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198352272979,3365,43,0.012778603268945,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198101876412,14840,38,0.0025606469002695,3,4,8,3,6,5,0,5,4,False,False,False,0,7.6,21.206889522250908,4.222222222222222,3.5531219053894376
76561198016628406,891,15,0.0168350168350168,1,0,5,1,2,1,1,2,2,False,False,False,0,3.0,-3.1541551578214992,1.6666666666666667,-0.38868345377416136
