steamid,cluster_kmeans,cluster_gmm
76561198037802252,1.0,1.0
76561197969100147,1.0,1.0
76561198098132374,1.0,1.0
76561198025391492,0.0,0.0
76561197997697109,1.0,1.0
76561198118371170,0.0,0.0
76561198012557600,1.0,1.0
76561198132235994,1.0,1.0
76561198118421272,1.0,1.0
76561198113457184,0.0,0.0
76561198028125071,1.0,1.0
76561198042619868,1.0,1.0
76561198300270231,0.0,0.0
76561198851670847,1.0,1.0
76561198063348352,1.0,1.0
76561198005648447,1.0,1.0
76561197988167503,1.0,1.0
76561198015749826,0.0,0.0
76561198172925593,1.0,1.0
76561197999339700,0.0,0.0
76561197979667190,0.0,0.0
76561198433683621,0.0,0.0
76561198087089368,1.0,1.0
76561197995828394,1.0,1.0
76561198011979289,1.0,1.0
76561198167940370,1.0,1.0
76561197985841875,1.0,1.0
76561198033808029,1.0,1.0
76561198335061024,1.0,1.0
76561198040178115,1.0,1.0
76561198051177321,1.0,1.0
76561198046878168,1.0,1.0
76561198000388603,0.0,0.0
76561198025111129,0.0,0.0
76561197995281961,1.0,0.0
76561198006766715,0.0,0.0
76561198033624455,1.0,1.0
76561197976469696,1.0,1.0
76561197994575642,1.0,1.0
76561198067208458,0.0,0.0
76561198197031430,1.0,1.0
76561198025618418,1.0,1.0
76561198047414009,1.0,1.0
76561197990481530,0.0,0.0
76561198217979953,1.0,1.0
76561198041885150,1.0,1.0
76561197962838085,1.0,1.0
76561198081008157,1.0,0.0
76561197967540452,1.0,1.0
76561198083142373,1.0,1.0
76561198024926277,1.0,1.0
76561198159216159,0.0,0.0
76561197997946137,1.0,1.0
76561198079772364,1.0,1.0
76561197993579927,1.0,1.0
76561198339323993,0.0,0.0
76561198023327915,0.0,0.0
76561198001873585,1.0,1.0
76561198971959226,1.0,1.0
76561198058291396,1.0,1.0
76561198187410553,0.0,0.0
76561198000413287,1.0,0.0
76561198032591844,1.0,1.0
76561198843434426,1.0,1.0
76561197976602082,1.0,1.0
76561197971204006,1.0,0.0
76561198004006226,0.0,0.0
76561198060410834,1.0,0.0
76561198041298094,1.0,1.0
76561198207088253,1.0,1.0
76561198043828654,1.0,1.0
76561197997112174,1.0,0.0
76561198368799839,0.0,0.0
76561198007609033,1.0,1.0
76561198062505918,1.0,1.0
76561197990233857,0.0,0.0
76561198074783710,1.0,1.0
76561198133918114,1.0,1.0
76561197982946417,1.0,0.0
76561197999659168,0.0,0.0
76561198035780173,0.0,0.0
76561198025146852,1.0,1.0
76561198000711279,1.0,1.0
76561198057329243,1.0,1.0
76561198162399308,1.0,1.0
76561198049291468,0.0,0.0
76561198055326676,1.0,1.0
76561197993279741,0.0,0.0
76561198120468864,0.0,0.0
76561198102380468,1.0,1.0
76561198059373650,1.0,1.0
76561197977010834,1.0,1.0
76561198161310076,0.0,0.0
76561198160320827,0.0,0.0
76561198076917180,1.0,0.0
76561198007759830,1.0,1.0
76561198049211014,1.0,1.0
76561197981111953,1.0,1.0
76561199053439300,1.0,1.0
76561198249392362,1.0,1.0
76561198041689171,0.0,0.0
76561197974925353,1.0,1.0
76561198130370824,0.0,0.0
76561198000000375,1.0,1.0
76561198026716698,0.0,0.0
76561198065617084,1.0,1.0
76561198081257465,1.0,1.0
76561198019621629,0.0,0.0
76561198067040444,1.0,1.0
76561199032279097,0.0,0.0
76561197972616894,0.0,0.0
76561197979803978,0.0,0.0
76561197998949214,1.0,0.0
76561197982617834,0.0,0.0
76561198050890851,1.0,1.0
76561198093999461,1.0,1.0
76561198041891495,0.0,0.0
76561199139776481,1.0,1.0
76561197961864608,0.0,0.0
