steamid,playtime_forever,achievement_count,crafting_count,combat_count,exploration_count,death_count,leveling_count,survival_count,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,log_playtime,ach_per_10h,crafting_count_rank,combat_count_rank,exploration_count_rank,leveling_count_rank,survival_count_rank,max_death_count_rank,max_survive_minutes_ord,max_items_crafted_ord,max_zombies_killed_ord,max_players_killed_ord,max_fortitude_skill_ord,max_travel_distance_ord,max_death_count_ord,max_character_level_ord,max_death_count_rank_ord,Cluster
76561198037802252,442,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,6.093569770045136,4.072392661910413,0.25,0.0,0.0,0.0,0.0,0.03571428571428571,0,0,0,0,0,0,0,0,0,0
76561197969100147,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.171700597410915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198833431225,484,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,6.184148890937483,53.30571904249705,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198033263509,4184,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.339261982923576,6.166347108076418,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198040600573,430,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,6.066108090103747,59.999916279186586,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198098132374,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.017279836814924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198025391492,741,16,5,3,1,3,2,2,180,500,100,0,0,10,14,28,6.60934924316738,12.955455096797492,0.625,0.2,0.16666666666666666,0.4,0.4,0.5,0,0,0,0,0,0,0,0,0,0
76561198219728397,191,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.2574953720277815,135.0781097022732,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198025859378,2973,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.9976631270201,8.678101174954353,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197997697109,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.486160788944089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198261994200,187,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.236441962829949,137.9674717621227,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198118371170,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.664409020350408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198012557600,1732,23,4,7,2,1,4,5,1680,0,500,0,8,50,1,140,7.457609289715606,7.967664676328633,0.5,0.4666666666666667,0.3333333333333333,0.8,1.0,0.03571428571428571,1,0,0,0,0,0,0,0,0,0
76561198132235994,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5254529391317835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561199223078836,178,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.187385805840755,144.94333165169107,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198842269103,14722,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.597166175865409,1.7524792112832817,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198118421272,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.882801922586371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198113457184,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.154858094016418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198003319092,3279,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.09559870137819,7.868251076257809,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198018420672,32570,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.391177600899962,0.7921399915479278,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198028125071,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.338594078203183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
