steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_hours,achievement_ratio,efficiency,stage1_speed_kmeans,stage1_speed_gmm
76561198037802252,442,3,2,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0,7.366666666666666,0.06976744186046512,0.009470693463935895,Normal,Normal
76561197969100147,478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.966666666666667,0.0,0.0,Normal,Slow
76561198833431225,484,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,8.066666666666666,1.0,0.12396694213339253,Effective,Effective
76561198033263509,4184,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,69.73333333333333,1.0,0.014340344168054391,Slow,Normal
76561198040600573,430,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,7.166666666666667,1.0,0.13953488370146025,Effective,Effective
76561198098132374,150,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.5,0.0,0.0,Normal,Slow
76561198025391492,741,16,5,0.625,3,0.2,1,0.1666666666666666,3,0.75,2,0.4,2,0.4,180,500,100,0,0,10,14,28,12.35,0.37209302325581395,0.030128989734873275,Normal,Normal
76561198219728397,191,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,3.183333333333333,1.0,0.31413612555576875,Effective,Effective
76561198025859378,2973,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,49.55,1.0,0.02018163471200441,Slow,Normal
76561197997697109,655,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,10.916666666666666,0.0,0.0,Normal,Slow
76561198261994200,187,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,3.1166666666666667,1.0,0.3208556148703137,Effective,Effective
