steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561198037802252,442,3,2,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0.006787330316726726,0.006787330316726726,Normal,Normal,Normal,Normal,0.0,6.093569770045136,False
76561197969100147,478,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.171700597410915,False
76561198033263509,4184,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.010277246653917237,0.010277246653917237,Normal,Normal,Normal,Normal,1.0,8.339261982923576,False
76561198098132374,150,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.017279836814924,False
76561198025391492,741,16,5,0.625,3,0.2,1,0.1666666666666666,3,0.75,2,0.4,2,0.4,180,500,100,0,0,10,14,28,0.021592442645045083,0.021592442645045083,Normal,Normal,Effective,Normal,5.0,6.60934924316738,False
76561198025859378,2973,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.014463504877223523,0.014463504877223523,Normal,Normal,Normal,Normal,1.0,7.9976631270201,False
76561197997697109,655,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.486160788944089,False
76561198118371170,783,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.664409020350408,False
76561198012557600,1732,23,4,0.5,7,0.4666666666666667,2,0.3333333333333333,1,0.25,4,0.8,5,1.0,1680,0,500,0,8,50,1,140,0.013279445727475012,0.013279445727475012,Normal,Normal,Normal,Normal,5.0,7.457609289715606,False
76561198132235994,250,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.5254529391317835,False
76561198842269103,14722,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0029207988045100585,0.0029207988045100585,Slow,Normal,Normal,Normal,1.0,9.597166175865409,False
76561198118421272,131,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,4.882801922586371,False
76561198113457184,470,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.154858094016418,False
76561198003319092,3279,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.013113754193347633,0.013113754193347633,Normal,Normal,Normal,Normal,1.0,8.09559870137819,False
76561198018420672,32570,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0013202333435676599,0.0013202333435676599,Slow,Normal,Normal,Normal,1.0,10.391177600899962,False
76561198028125071,565,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.338594078203183,False
76561198042619868,4928,40,8,1.0,15,1.0,5,0.8333333333333334,4,1.0,5,1.0,3,0.6,180,5000,2500,25,10,250,28,300,0.00811688311688147,0.00811688311688147,Normal,Normal,Normal,Normal,1.0,8.502891406705377,False
76561198300270231,458,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.129050210060545,False
76561198851670847,341,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.834810737062605,False
76561198185575257,27725,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.001550946798917888,0.001550946798917888,Slow,Normal,Normal,Normal,1.0,10.23012588009832,False
76561198063348352,444,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.09807428216624,False
76561198005648447,1613,18,6,0.75,6,0.4,2,0.3333333333333333,0,0.0,1,0.2,3,0.6,600,500,100,0,8,50,0,7,0.01115933044016667,0.01115933044016667,Normal,Normal,Normal,Normal,5.0,7.3864708488298945,False
76561198033338283,3895,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.011039794608469567,0.011039794608469567,Normal,Normal,Normal,Normal,1.0,8.267705664762426,False
76561197988167503,578,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.361302477572996,False
76561198015749826,1321,14,4,0.5,3,0.2,2,0.3333333333333333,2,0.5,1,0.2,2,0.4,180,50,100,0,0,50,7,7,0.01059803179408736,0.01059803179408736,Normal,Normal,Normal,Normal,5.0,7.186901020411631,False
76561198172925593,79682,37,8,1.0,10,0.6666666666666666,6,1.0,4,1.0,5,1.0,4,0.8,1680,5000,2500,0,10,1000,28,300,0.00046434577445344664,0.00046434577445344664,Slow,Normal,Normal,Normal,4.0,11.285811542152123,False
